time = 20150812-193512; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193512; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193513; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193513; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193513; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736315; Long = 37.666336; Alt = 107.648452; Hdg = 3.755094; type = 2.17.104.80
time = 20150812-193513; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.280761; Hdg = 3.875001; type = 1.1.6.58
time = 20150812-193513; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.638170; Long = 37.621349; Alt = 147.377279; Hdg = 6.243238; type = 1.1.6.16
time = 20150812-193513; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705815; Long = 37.638120; Alt = 92.193636; Hdg = 5.528367; type = 2.17.26.10
time = 20150812-193513; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705694; Long = 37.637967; Alt = 93.212789; Hdg = 5.716707; type = 2.17.104.7
time = 20150812-193513; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721779; Long = 37.623667; Alt = 94.916371; Hdg = 1.700515; type = 2.17.26.10
time = 20150812-193513; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.734032; Long = 37.709084; Alt = 247.052335; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193513; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193513; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193513; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193513; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736086; Long = 37.666146; Alt = 108.366237; Hdg = 3.622514; type = 2.17.104.14
time = 20150812-193513; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736538; Long = 37.666546; Alt = 107.838566; Hdg = 3.755094; type = 2.17.104.80
time = 20150812-193513; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705847; Long = 37.637734; Alt = 87.442832; Hdg = 4.961042; type = 2.17.104.7
time = 20150812-193513; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705870; Long = 37.637958; Alt = 89.296424; Hdg = 5.491826; type = 2.17.26.10
time = 20150812-193513; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
time = 20150812-193513; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721400; Long = 37.624141; Alt = 94.094715; Hdg = 1.692911; type = 2.17.26.10
time = 20150812-193513; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193513; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193514; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193514; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193514; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736305; Long = 37.666307; Alt = 107.703330; Hdg = 4.718370; type = 2.17.104.80
time = 20150812-193514; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.281478; Hdg = 3.875227; type = 1.1.6.58
time = 20150812-193514; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.639112; Long = 37.621347; Alt = 147.023087; Hdg = 6.203517; type = 1.1.6.16
time = 20150812-193514; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705827; Long = 37.638105; Alt = 91.780978; Hdg = 5.511183; type = 2.17.26.10
time = 20150812-193514; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705730; Long = 37.637937; Alt = 92.102358; Hdg = 5.603407; type = 2.17.104.7
time = 20150812-193514; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721777; Long = 37.623682; Alt = 94.933793; Hdg = 1.585773; type = 2.17.26.10
time = 20150812-193514; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.734010; Long = 37.708437; Alt = 246.888768; Hdg = 4.607135; type = 1.2.6.168
time = 20150812-193514; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193514; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
